video_id,title,published_at,duration,views,likes,comments,tags,channel
f6szZKt1T7E,We Played a Football Match Entirely in the Dark,2018-11-06T21:20:02Z,PT12M4S,1061314,35289,838,"football,match,in,the,dark,challenge,xo,stephen tries,willne,chrismd,total,darkness,true geordie",ChrisMD
75HAvRUtN1Y,EXTREME Halloween Try Not To Laugh Challenge,2018-10-31T20:52:05Z,PT8M52S,691531,27222,826,"try,not,to,laugh,challenge,try not to laugh,extreme,halloween,forfeit,scary",ChrisMD
0rCDatUr0_0,The 8 Year Old Cristiano Ronaldo,2018-10-30T17:48:27Z,PT10M22S,3768898,65870,1930,"cristiano ronaldo,8 year old,age 8,kid,amazing,football,skills,messi,cristiano,ronaldo",ChrisMD
LZzhSqr2QtQ,Football Challenges In My NEW House – ft. My Girlfriend,2018-10-15T21:15:51Z,PT14M42S,2740304,82120,3058,"new,house,football,challenges,girlfriend,my girlfriend,mansion,expensive",ChrisMD
ZhnhM3BnkUI,Loser Gets BURIED ALIVE | Old FIFA Games Battle,2018-10-11T15:10:01Z,PT19M48S,3932290,56715,1987,"forfeit,buried,alive,fifa,old,games,fifa 2003,reacting,dinosaurs",ChrisMD
TTkMgVDKag8,Kevin De Bruyne Reacts To My Best Free Kicks Ever,2018-10-03T16:43:26Z,PT5M23S,6416233,120007,2194,"kevin de bruyne,de bruyne,reacts,reacts to,reacting,best,free kick,free kicks,ever,chrismd,football,challenge,man city,skills,goals,ronaldo,cristiano ronaldo",ChrisMD
nPukryW_wq0,£10 Goalie Gloves Vs. £100 Pro Goalie Gloves | ft. W2S,2018-09-30T16:52:29Z,PT12M8S,10699702,145134,4938,"£10,£100,vs,w2s,football,challenge,goalkeeper,gloves,professional",ChrisMD
iTBVSW1ofyU,I Insulted Kevin De Bruyne in Most Awkward FIFA 19 Game of the Year,2018-09-28T15:01:41Z,PT4M2S,3171439,70640,1726,"fifa 19,kevin de bruyne,man city,fifa,game,awkward,insulted,fight,soccer,player,footballer",ChrisMD
fhKpTYhcjzg,WORLD’S GREATEST GO KARTING RACE,2018-09-14T17:47:38Z,PT14M15S,2843331,66315,2353,"karting,go karting,race,youtuber,willne,callux,nerf",ChrisMD
w1a-EpiRfmA,World's Best Goalkeepers Score Unbelievable Goals,2018-09-08T20:44:48Z,PT16M3S,1724517,44895,1668,"world's,best,goalkeepers,football,goals,unbelievable,football challenge",ChrisMD
7s_9GI7I9rY,THE END of Ronaldo's Road To The World Cup,2018-07-29T13:58:20Z,PT22M33S,1986240,37600,1930,"ronaldo,cristiano,cristiano ronaldo,world cup,football,challenge",ChrisMD
RCQ_E7kTU4g,WHEN VIDEOS GO WRONG...,2018-07-24T20:12:06Z,PT9M45S,3970701,68053,1778,"videos,gone,wrong,youtube,football,fails,soccer,funny,world,cup,trick shots",ChrisMD
P4tLjjguBwc,Bale Overhead Kick Challenge | Ronaldo's Road To The World Cup - EP. 5,2018-07-21T18:26:44Z,PT13M24S,1762071,33366,1432,"ronaldo,world cup,bale,overhead kick,bicycle,goal,champions,league",ChrisMD
I00u0o-pDsA,World Cup Trick Shots,2018-07-07T12:41:59Z,PT10M31S,13247480,74243,3533,"world,cup,trickshots,russia,england,football,coming,home,skills,goals,amazing,insane",ChrisMD
qlzPT9PZdxY,Van Persie DIVING HEADER Challenge | Ronaldo's Road To The World Cup - EP. 4,2018-06-26T20:30:29Z,PT17M47S,6096314,79825,8980,"world,cup,ronaldo,goal,van persie,russia,header,challenge,football,soccer",ChrisMD
3js5i1JrNNI,What Does Spending £2000 on Fifa 18 Packs Get You? - TOTS Edition,2018-06-23T17:23:31Z,PT12M32S,2161561,48992,16256,"fifa 18,tots,pack opening,£2000,spending,money,£5000,punds,dollars",ChrisMD
kSYEWXwzyzM,£500 Jabulani v £150 Brazuca v £100 Telstar | World Cup Ball Battle,2018-06-22T18:57:55Z,PT22M50S,11206363,139496,3990,"world,cup,ball,football,jabulani,brazuca,telstar,russia,miniminter,tobi,sidemen",ChrisMD
